cuv,der Zahn,dintele,,LANG_DE_RO,OK
cuv,das Meer,marea,,LANG_DE_RO,OK
cuv,mindestens,cel putin,,LANG_DE_RO,OK
cuv,din,aus,,LANG_RO_DE,NOTTESTED
cuv,gebt,voi a da,,LANG_DE_RO,NOTTESTED
cuv,die Minute,minutul,,LANG_DE_RO,OK
cuv,für,pentru,,LANG_DE_RO,OK
cuv,bin geworden,am devenit,,LANG_DE_RO,OK
verb,a da,geben,gebe,gibst,gibt,geben,gebt,geben,habe,gegeben,am dat,gib,,LANG_RO_DE,NOTTESTED
cuv,bringe,eu a aduce,,LANG_DE_RO,OK
cuv,vor,in fata,,LANG_DE_RO,NOTOK
cuv,am alergat,bin gelaufen,,LANG_RO_DE,NOTTESTED
cuv,komme,eu a veni,,LANG_DE_RO,OK
cuv,bekommst,tu a primi,,LANG_DE_RO,OK
cuv,habe gewußt,am stiut,,LANG_DE_RO,NOTTESTED
cuv,die Sommer,verile,,LANG_DE_RO,NOTTESTED
verb,a deveni,werden,werde,wirst,wird,werden,werdet,werden,bin,geworden,am devenit,werd,,LANG_RO_DE,NOTTESTED
verb,a sta,bleiben,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,bin,geblieben,am ramas,bleib,a sta(a ramane),LANG_RO_DE,NOTTESTED
cuv,findest,tu a gasi,,LANG_DE_RO,OK
subst,urechea,das,Ohr,Ohren,urechile,,LANG_RO_DE,NOTTESTED
verb,a avea,haben,habe,hast,hat,haben,habt,haben,habe,gehabt,am avut,habe,,LANG_RO_DE,NOTTESTED
cuv,glauben,noi ei a crede,,LANG_DE_RO,NOTTESTED
cuv,werde,eu a deveni,,LANG_DE_RO,NOTTESTED
subst,minutul,die,Minute,Minuten,minutele,,LANG_RO_DE,NOTTESTED
cuv,am conectat,habe gebunden,,LANG_RO_DE,NOTTESTED
cuv,am stiut,habe gewußt,,LANG_RO_DE,NOTTESTED
verb,a vrea,wollen,will,willst,will,wollen,wollt,wollen,habe, gewollt,am vrut,wolle,,LANG_RO_DE,NOTTESTED
verb,a vedea,sehen,sehe,siehst,sieht,sehen,seht,sehen,habe,gesehen,am vazut,sieh,,LANG_RO_DE,NOTTESTED
cuv,am avut,habe gehabt,,LANG_RO_DE,NOTTESTED
cuv,separat,getrennt,,LANG_RO_DE,NOTTESTED
subst,momentul,das,Moment,Momente,momentele,,LANG_RO_DE,NOTTESTED
cuv, ergänzt,am completat,,LANG_DE_RO,OK
verb,a lua,nehmen,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,habe,genommen,am luat,nimm,,LANG_RO_DE,NOTTESTED
cuv,unter,dedesupt,,LANG_DE_RO,NOTTESTED
cuv,habe ersetzt,am inlocuit,,LANG_DE_RO,NOTTESTED
cuv,habe bekommen,am primit,,LANG_DE_RO,NOTTESTED
cuv,als,ca,,LANG_DE_RO,OK
cuv,beginnen,noi ei a incepe,,LANG_DE_RO,OK
cuv,bleibe,eu a sta,,LANG_DE_RO,NOTTESTED
cuv,kennst,tu a cunoaste,,LANG_DE_RO,OK
cuv,bekommen,noi ei a primi,,LANG_DE_RO,OK
cuv,der Monat,luna,,LANG_DE_RO,OK
subst,lucrul,die,Sache,Sachen,lucrurile,,LANG_RO_DE,NOTTESTED
